epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2519,2.98665,6.55375,3.75504,2.33101,0,0.00233,0.10294,0.00146,0.00034,0.00033,0.01471,0.00017,2e-05,2.43584,5.73455,3.66135,1.91152,0,4e-05,4e-05,4e-05
2,27.9663,2.4059,4.87044,3.63773,1.89786,0,0.00567,0.25,0.01906,0.00401,0.001,0.04412,0.00054,0.00018,2.11914,3.97023,3.56979,1.71195,0,9.901e-05,9.901e-05,9.901e-05
3,41.4511,2.25356,3.99446,3.2724,1.74528,0,0.00767,0.33824,0.10728,0.03502,0.00167,0.07353,0.01594,0.00325,1.87138,3.40799,3.36211,1.58549,0,0.000156832,0.000156832,0.000156832
4,54.5969,1.94071,3.30059,2.92058,1.43593,0,0.00867,0.38235,0.10148,0.02372,0.004,0.17647,0.00294,0.00084,1.89033,2.89021,3.39543,1.65436,0,0.000213466,0.000213466,0.000213466
5,68.8988,1.71576,3.07819,2.58595,1.27957,0,0.13143,0.22059,0.10527,0.03224,0.005,0.22059,0.00369,0.00129,1.78907,2.84586,3.25377,2.00761,0,0.000268912,0.000268912,0.000268912
6,84.7575,1.69119,2.74514,2.07991,1.27235,0,0.0955,0.23529,0.12882,0.04007,0.00667,0.29412,0.00526,0.00132,1.77236,2.9225,3.18671,2.11904,0,0.00032317,0.00032317,0.00032317
7,100.584,1.65507,2.44339,1.91742,1.2159,0,0.01333,0.58824,0.0937,0.03522,0.01033,0.45588,0.01129,0.00298,1.58083,2.84535,3.12749,1.59148,0,0.00037624,0.00037624,0.00037624
8,115.149,1.47128,2.19844,2.03936,1.15341,0,0.01667,0.73529,0.10085,0.03905,0.01433,0.63235,0.03219,0.00849,1.455,2.5608,3.02814,1.43906,0,0.000428122,0.000428122,0.000428122
9,130.651,1.43651,2.107,1.94594,1.18839,0,0.016,0.70588,0.15202,0.05857,0.01433,0.63235,0.05,0.0155,1.38821,2.40591,3.03028,1.30909,0,0.000478816,0.000478816,0.000478816
10,145.391,1.57136,2.23498,1.94149,1.33599,0,0.06847,0.26471,0.12778,0.04641,0.014,0.61765,0.04508,0.01138,1.46052,2.49175,3.01942,1.38439,0,0.000528322,0.000528322,0.000528322
11,160.442,1.45366,2.08712,1.697,1.13287,0,0.16104,0.20588,0.11695,0.047,0.0853,0.13235,0.05824,0.01674,1.44111,2.52144,3.02474,1.33009,0,0.00057664,0.00057664,0.00057664
12,175.621,1.51655,2.11369,1.60428,1.15544,0,0.02925,0.66176,0.10541,0.04242,0.04454,0.14706,0.06791,0.02578,1.42704,2.27211,2.98456,1.33373,0,0.00062377,0.00062377,0.00062377
