epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.2062,2.71698,5.08778,3.7566,2.15665,0.00333,0.28846,0.10629,0.04189,0.00167,0.14423,0.01728,0.00808,2.22421,4.10483,3.69219,1.74313,0.00012,0.00012,0.00012
2,136.453,1.88968,3.48478,2.64046,1.40832,0.00556,0.48077,0.19938,0.06783,0.00467,0.40385,0.03165,0.00758,1.93909,2.99295,3.25758,1.7226,0.000257426,0.000257426,0.000257426
3,196.963,1.69507,2.82856,2.12341,1.27436,0.006,0.51923,0.16314,0.05594,0.00522,0.45192,0.07972,0.02094,1.7785,3.07155,3.36695,1.50214,0.00039208,0.00039208,0.00039208
4,260.118,1.58164,2.63687,2.04701,1.24446,0.0102,0.35577,0.21512,0.08138,0.00533,0.46154,0.0579,0.01432,1.76044,2.92427,3.28278,1.45323,0.000523962,0.000523962,0.000523962
5,320.498,1.5646,2.26642,2.00449,1.22281,0.50202,0.10666,0.1874,0.08952,0.36621,0.07782,0.09235,0.03822,1.67864,2.66639,3.21724,1.3307,0.000653072,0.000653072,0.000653072
6,380.173,1.52174,2.18776,1.7916,1.20063,0.60251,0.07306,0.16874,0.08362,0.39749,0.04808,0.09559,0.03559,1.76078,2.5202,3.33367,1.38153,0.00077941,0.00077941,0.00077941
7,442.67,1.50205,2.15654,1.77554,1.20727,0.33432,0.125,0.11606,0.04048,0.24338,0.125,0.06623,0.01936,1.6249,2.5066,3.25666,1.49452,0.000902976,0.000902976,0.000902976
8,500.408,1.50145,2.12947,1.77096,1.20988,0.30715,0.14072,0.11228,0.04096,0.19528,0.09615,0.06193,0.01546,1.65797,2.95909,3.22139,1.52974,0.00102377,0.00102377,0.00102377
9,557.053,1.47068,2.1444,1.71311,1.16657,0.16647,0.22115,0.06252,0.02402,0.10133,0.13462,0.0285,0.0102,1.76934,2.65763,3.20839,1.52733,0.00114179,0.00114179,0.00114179
10,613.323,1.49415,2.14395,1.66173,1.17095,0.14587,0.23077,0.06145,0.01891,0.06557,0.08654,0.02416,0.00714,1.74815,2.62545,3.28753,1.51415,0.00125704,0.00125704,0.00125704
11,676.337,1.44393,2.08937,1.66484,1.16683,0.39547,0.24536,0.16359,0.0739,0.21968,0.125,0.0625,0.0198,1.64844,2.68917,2.86598,1.37906,0.00136952,0.00136952,0.00136952
12,732.923,1.46382,2.02356,1.65674,1.15211,0.27672,0.32692,0.14298,0.07327,0.17918,0.19231,0.07724,0.02663,1.47518,2.33451,2.93698,1.29252,0.00147923,0.00147923,0.00147923
13,793.109,1.40284,1.92658,1.67695,1.18663,0.40388,0.26923,0.18538,0.08946,0.20194,0.22872,0.09309,0.03313,1.48743,2.19335,3.05361,1.33037,0.00158616,0.00158616,0.00158616
14,852.307,1.42864,2.04239,1.63214,1.19539,0.27877,0.32692,0.15812,0.06587,0.19807,0.18269,0.07221,0.02395,1.53732,2.59461,3.03285,1.36805,0.00169032,0.00169032,0.00169032
15,909.979,1.4044,1.91775,1.67222,1.17133,0.20996,0.19231,0.11199,0.0453,0.13137,0.125,0.07788,0.02947,1.7121,2.41523,3.52129,1.54808,0.0017228,0.0017228,0.0017228
16,968.086,1.36555,1.84332,1.57153,1.16502,0.40511,0.17684,0.20032,0.07691,0.22481,0.09615,0.09126,0.04647,1.79371,2.93457,3.17465,1.5328,0.001703,0.001703,0.001703
17,1028.76,1.40912,1.78561,1.52841,1.14808,0.34796,0.22115,0.16944,0.06459,0.17915,0.125,0.07849,0.03196,1.75313,2.7941,3.55636,1.60801,0.0016832,0.0016832,0.0016832
18,1089.97,1.39918,1.88554,1.48054,1.17268,0.34498,0.24038,0.16183,0.06403,0.13065,0.10577,0.04948,0.01878,1.64563,2.50296,5.00951,1.55623,0.0016634,0.0016634,0.0016634
19,1148.72,1.38904,1.87956,1.46037,1.1376,0.33131,0.30968,0.22482,0.08581,0.21474,0.20192,0.12125,0.0446,1.594,2.12133,3.75459,1.48867,0.0016436,0.0016436,0.0016436
20,1207.97,1.36292,1.78797,1.46042,1.14487,0.3605,0.34691,0.31537,0.12842,0.14218,0.58654,0.12604,0.04949,1.52552,2.12169,3.94415,1.38437,0.0016238,0.0016238,0.0016238
21,1265.33,1.4013,1.80742,1.47367,1.15054,0.50207,0.32692,0.32428,0.14349,0.19256,0.33252,0.16845,0.06356,1.47139,1.82767,3.02691,1.32163,0.001604,0.001604,0.001604
22,1326.68,1.31326,1.70713,1.48948,1.15004,0.65688,0.64427,0.64308,0.36094,0.57023,0.56731,0.51201,0.2183,1.4389,1.79503,1.59923,1.24245,0.0015842,0.0015842,0.0015842
23,1385.62,1.36675,1.70779,1.47537,1.15884,0.74103,0.72115,0.72433,0.44278,0.64223,0.625,0.60156,0.27811,1.38047,1.84627,1.49341,1.22234,0.0015644,0.0015644,0.0015644
24,1444.63,1.34435,1.59922,1.40726,1.14938,0.50625,0.69013,0.54034,0.28224,0.38744,0.58654,0.34195,0.16024,1.47777,1.86796,1.72583,1.30828,0.0015446,0.0015446,0.0015446
25,1504.62,1.30341,1.7204,1.39689,1.11796,0.61668,0.55769,0.62682,0.33022,0.47535,0.40948,0.42699,0.21207,1.51281,1.80651,1.63248,1.36006,0.0015248,0.0015248,0.0015248
26,1570.33,1.27421,1.66636,1.34751,1.07949,0.51467,0.63462,0.57223,0.29434,0.3914,0.53846,0.38504,0.19008,1.5191,1.98992,1.63955,1.30524,0.001505,0.001505,0.001505
27,1635.51,1.2109,1.57693,1.27576,1.07214,0.56075,0.66286,0.57396,0.31197,0.52773,0.63462,0.53186,0.24703,1.42882,1.91055,1.578,1.2407,0.0014852,0.0014852,0.0014852
28,1695.94,1.26074,1.54774,1.27989,1.1044,0.70786,0.65236,0.6633,0.39415,0.68443,0.62565,0.62867,0.28767,1.34405,2.00202,1.51911,1.20214,0.0014654,0.0014654,0.0014654
29,1762.29,1.24352,1.58476,1.2841,1.10351,0.6904,0.68618,0.73755,0.43998,0.70058,0.59615,0.69175,0.33459,1.36526,1.90802,1.47554,1.20401,0.0014456,0.0014456,0.0014456
30,1821.28,1.27492,1.60192,1.33191,1.11994,0.66671,0.68269,0.71863,0.45305,0.71753,0.63462,0.72178,0.36155,1.34319,1.69249,1.42944,1.20801,0.0014258,0.0014258,0.0014258
31,1881.99,1.24053,1.65061,1.2582,1.06443,0.7651,0.72034,0.77722,0.47226,0.72185,0.65385,0.69473,0.3469,1.35066,1.78601,1.46438,1.1792,0.001406,0.001406,0.001406
32,1947.19,1.31193,1.58389,1.38348,1.11448,0.56913,0.70192,0.64311,0.40859,0.55215,0.66346,0.58006,0.26963,1.35869,1.74508,1.43407,1.18252,0.0013862,0.0013862,0.0013862
33,1997.68,1.2778,1.68983,1.3224,1.09886,0.53802,0.69231,0.61983,0.39341,0.50799,0.62544,0.58041,0.28037,1.33302,1.66273,1.46163,1.17324,0.0013664,0.0013664,0.0013664
34,2047.67,1.2817,1.67499,1.2582,1.09687,0.60916,0.625,0.6068,0.37769,0.51395,0.66346,0.55713,0.28046,1.34191,1.64585,1.46607,1.19597,0.0013466,0.0013466,0.0013466
35,2097.79,1.22941,1.57506,1.26617,1.07603,0.5921,0.71154,0.60896,0.39243,0.56802,0.65385,0.57952,0.29343,1.30205,1.7152,1.40363,1.15306,0.0013268,0.0013268,0.0013268
36,2147.6,1.26288,1.55603,1.24725,1.09978,0.68285,0.69231,0.6735,0.43503,0.6392,0.64734,0.63574,0.31946,1.29232,1.64289,1.38928,1.15695,0.001307,0.001307,0.001307
37,2197.21,1.21305,1.51192,1.2073,1.0819,0.61869,0.73077,0.66203,0.40133,0.54303,0.71987,0.59987,0.28989,1.28361,1.69687,1.41121,1.13987,0.0012872,0.0012872,0.0012872
38,2247.56,1.14633,1.53153,1.25254,1.05525,0.61853,0.70159,0.65875,0.38835,0.53599,0.625,0.53926,0.27219,1.28298,1.72423,1.53562,1.13902,0.0012674,0.0012674,0.0012674
39,2297.69,1.17301,1.51909,1.22376,1.10445,0.74884,0.63074,0.72223,0.47485,0.67027,0.59615,0.66909,0.34956,1.20506,1.6625,1.35036,1.11495,0.0012476,0.0012476,0.0012476
40,2347,1.22099,1.55216,1.20314,1.08625,0.5892,0.70192,0.58146,0.35314,0.55851,0.65687,0.51334,0.25454,1.25529,1.74606,1.5022,1.13022,0.0012278,0.0012278,0.0012278
41,2395.78,1.12202,1.48071,1.16817,1.06329,0.48826,0.75,0.53094,0.31496,0.45201,0.69003,0.48954,0.23818,1.28429,1.68435,1.54447,1.13959,0.001208,0.001208,0.001208
42,2445.35,1.14569,1.54881,1.09816,1.07696,0.60555,0.69379,0.64146,0.39407,0.57437,0.65385,0.59472,0.29361,1.2081,1.52536,1.39919,1.09938,0.0011882,0.0011882,0.0011882
43,2494.35,1.10301,1.48288,1.07397,1.05189,0.59962,0.66242,0.67864,0.44564,0.57154,0.67308,0.64212,0.31768,1.26566,1.61429,1.30335,1.10775,0.0011684,0.0011684,0.0011684
44,2543.41,1.10335,1.39226,1.16392,1.04351,0.55991,0.625,0.60152,0.37314,0.55665,0.59615,0.57478,0.30703,1.29353,1.58906,1.38458,1.10415,0.0011486,0.0011486,0.0011486
45,2593.1,1.19356,1.42643,1.184,1.06475,0.53236,0.61538,0.59339,0.36474,0.52799,0.58654,0.57097,0.29931,1.28425,1.65449,1.40645,1.09678,0.0011288,0.0011288,0.0011288
46,2642.37,1.15427,1.43487,1.13923,1.06683,0.57332,0.69769,0.65042,0.40982,0.55817,0.68025,0.62589,0.32549,1.19116,1.71211,1.32964,1.09225,0.001109,0.001109,0.001109
47,2691.31,1.21199,1.53684,1.25677,1.063,0.56803,0.69231,0.65658,0.40372,0.52371,0.75067,0.61908,0.33519,1.23314,1.61787,1.28047,1.09263,0.0010892,0.0010892,0.0010892
48,2739.93,1.11257,1.41777,1.08867,1.03982,0.62529,0.66346,0.67542,0.40245,0.58865,0.66049,0.62689,0.3514,1.25303,1.55376,1.28212,1.09226,0.0010694,0.0010694,0.0010694
49,2788.55,1.11823,1.41409,1.14932,1.04895,0.57327,0.67308,0.65576,0.41388,0.54125,0.69202,0.61367,0.33349,1.2363,1.58044,1.34187,1.08404,0.0010496,0.0010496,0.0010496
50,2837.59,1.11389,1.33144,1.12305,1.05917,0.66267,0.55769,0.6348,0.38535,0.56577,0.5387,0.5779,0.3341,1.24356,1.56695,1.42708,1.1019,0.0010298,0.0010298,0.0010298
51,2885.65,1.09569,1.39623,1.11206,1.03764,0.72722,0.67308,0.73477,0.48677,0.60498,0.67741,0.68857,0.39176,1.15653,1.53355,1.32141,1.09695,0.00101,0.00101,0.00101
52,2935.07,1.10228,1.37594,1.0932,1.05734,0.68509,0.71124,0.722,0.49315,0.7288,0.62019,0.70615,0.38619,1.15353,1.53821,1.30813,1.09407,0.0009902,0.0009902,0.0009902
