epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7037,1.48431,2.24985,1.38539,1.12108,0,0.59165,0.52885,0.53186,0.25262,0.53251,0.53669,0.46745,0.15212,1.53359,2.01572,2.18001,1.14373,0,0.00026,0.00026,0.00026
2,50.5739,1.29919,1.8356,1.30881,1.05644,0,0.61112,0.60442,0.60939,0.35775,0.56635,0.55769,0.54591,0.24282,1.42502,2.10176,1.81336,1.10051,0,0.000534654,0.000534654,0.000534654
3,74.9562,1.41396,2.03072,1.38006,1.07226,0,0.42603,0.57811,0.43885,0.221,0.37493,0.59615,0.37617,0.13729,1.56086,2.14263,1.91062,1.16541,0,0.000803764,0.000803764,0.000803764
4,98.3631,1.52147,2.1577,1.43552,1.11748,0,0.33463,0.54646,0.37047,0.19944,0.29684,0.55769,0.26625,0.11116,1.50182,2.25156,1.65428,1.17344,0,0.00106733,0.00106733,0.00106733
5,119.773,1.41846,2.08319,1.36716,1.09679,0,0.54982,0.52885,0.47746,0.25712,0.46555,0.40385,0.35476,0.13785,1.47829,2.31673,1.61657,1.16246,0,0.00132535,0.00132535,0.00132535
6,143.327,1.49252,2.07868,1.27927,1.12888,0,0.42553,0.48077,0.38035,0.19831,0.34894,0.48077,0.30507,0.12443,1.51539,2.43318,1.60715,1.15154,0,0.00157783,0.00157783,0.00157783
7,167.584,1.5075,2.25244,1.34359,1.11479,0,0.41239,0.56686,0.43037,0.24329,0.37127,0.57917,0.35353,0.14253,1.48602,2.53411,1.55608,1.15001,0,0.00182476,0.00182476,0.00182476
8,192.725,1.52984,2.10443,1.31964,1.13136,0,0.51598,0.67654,0.54207,0.2676,0.3724,0.53846,0.3324,0.11344,1.60078,2.33752,1.54585,1.15338,0,0.0018614,0.0018614,0.0018614
9,217.085,1.46405,2.13449,1.36886,1.11116,0,0.485,0.59766,0.5139,0.26451,0.43686,0.49038,0.38176,0.15537,1.53775,2.37186,1.63907,1.15526,0,0.0018416,0.0018416,0.0018416
10,238.974,1.39632,2.01063,1.27592,1.10661,0,0.56281,0.55769,0.46514,0.2202,0.50398,0.5,0.38599,0.14836,1.57983,2.42017,1.72926,1.19265,0,0.0018218,0.0018218,0.0018218
