epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9806,1.97329,3.91794,3.08535,1.54876,0,0.001,0.08654,0.00061,0.00014,0,0,0,0,3.84218,38.3117,4.76094,2.84414,0,0.00013,0.00013,0.08713
2,85.5939,1.819,2.91283,2.49287,1.3426,0,0.00289,0.25,0.01377,0.00342,0,0,0,0,2.74022,24.3924,3.80884,2.16109,0,0.000267327,0.000267327,0.0732673
3,129.22,1.6834,2.55658,2.10209,1.30888,0,0.00995,0.31731,0.06861,0.0188,0.0006,0.01923,0.00031,3e-05,2.19134,17.3196,3.65541,1.76924,0,0.000401882,0.000401882,0.0594019
4,172.713,1.62365,2.3584,1.98729,1.26181,0,0.01634,0.60577,0.13362,0.0583,0.00545,0.20192,0.00469,0.0011,1.90729,6.76069,3.22992,1.4177,0,0.000533665,0.000533665,0.0455337
5,216.752,1.60169,2.41344,1.7156,1.23537,0,0.33953,0.19231,0.15166,0.06155,0.12893,0.07692,0.02776,0.00621,1.80858,5.01122,2.7916,1.3615,0,0.000662676,0.000662676,0.0316627
6,260.018,1.6551,2.38026,1.71097,1.2178,0,0.46078,0.25,0.22606,0.09707,0.07934,0.10577,0.05687,0.01627,1.73822,3.63061,2.30598,1.26947,0,0.000788915,0.000788915,0.0177889
7,304.426,1.54332,2.48268,1.62677,1.18252,0,0.31187,0.25,0.24988,0.11406,0.0818,0.11538,0.06176,0.01646,1.61887,3.55276,2.20886,1.22188,0,0.000912382,0.000912382,0.00391238
8,343.249,1.51444,2.15358,1.62,1.22017,0,0.41803,0.31731,0.28411,0.14701,0.30241,0.16346,0.13682,0.03273,1.51716,2.89026,2.11857,1.17606,0,0.0009307,0.0009307,0.0009307
9,387.094,1.47371,2.30754,1.61459,1.18732,0,0.42818,0.34615,0.27847,0.13664,0.22788,0.26923,0.14755,0.04406,1.55589,2.57749,2.03909,1.2154,0,0.0009208,0.0009208,0.0009208
10,430.84,1.46603,2.1171,1.60361,1.18336,0,0.45908,0.48148,0.40849,0.20574,0.31822,0.39423,0.23654,0.07339,1.47472,2.57972,1.85354,1.22428,0,0.0009109,0.0009109,0.0009109
11,474.11,1.57711,2.20699,1.54965,1.24811,0,0.51051,0.61538,0.48975,0.24382,0.42496,0.51923,0.33438,0.11635,1.48061,2.52171,1.76709,1.19858,0,0.000901,0.000901,0.000901
12,511.396,1.48784,2.06039,1.57163,1.15738,0,0.49875,0.708,0.56851,0.31164,0.40936,0.625,0.43499,0.17461,1.46737,2.34388,1.65709,1.18739,0,0.0008911,0.0008911,0.0008911
13,547.764,1.45869,2.07693,1.48992,1.16975,0,0.33625,0.59427,0.35422,0.18692,0.3036,0.53658,0.30359,0.11219,1.54695,2.37222,1.92505,1.27135,0,0.0008812,0.0008812,0.0008812
14,584.095,1.35206,2.01159,1.49122,1.15195,0,0.38505,0.59005,0.39131,0.20561,0.29791,0.63462,0.29514,0.10386,1.46574,2.30051,1.82046,1.23993,0,0.0008713,0.0008713,0.0008713
15,620.608,1.31142,1.90295,1.47985,1.1475,0,0.41384,0.71154,0.42791,0.24456,0.38759,0.67308,0.36346,0.13122,1.45711,2.23853,1.7453,1.22693,0,0.0008614,0.0008614,0.0008614
16,661.71,1.42795,1.88839,1.41048,1.16001,0,0.51481,0.73458,0.54793,0.32062,0.45824,0.65385,0.48104,0.20325,1.43767,2.19136,1.58418,1.22871,0,0.0008515,0.0008515,0.0008515
17,705.624,1.43163,2.00137,1.45766,1.14852,0,0.50778,0.75962,0.55107,0.29495,0.43735,0.68269,0.43504,0.18247,1.47321,2.33406,1.74567,1.2268,0,0.0008416,0.0008416,0.0008416
18,750.29,1.32867,1.7824,1.4018,1.1353,0,0.53669,0.59615,0.52832,0.307,0.48755,0.54889,0.46698,0.21096,1.47308,2.1772,1.63388,1.21274,0,0.0008317,0.0008317,0.0008317
19,787.127,1.35783,1.92619,1.42998,1.12978,0,0.54895,0.75,0.58611,0.3505,0.49255,0.64423,0.49148,0.25285,1.50944,2.11871,1.57503,1.21846,0,0.0008218,0.0008218,0.0008218
20,823.612,1.35215,1.76267,1.43703,1.12993,0,0.53291,0.67308,0.61356,0.38551,0.49484,0.625,0.55027,0.28315,1.47164,1.93549,1.60988,1.20625,0,0.0008119,0.0008119,0.0008119
21,861.881,1.27005,1.77649,1.32957,1.09658,0,0.58418,0.625,0.65083,0.39635,0.55566,0.56731,0.57771,0.28427,1.43433,1.93768,1.57031,1.22022,0,0.000802,0.000802,0.000802
22,904.709,1.36448,1.79549,1.37339,1.12446,0,0.53527,0.74204,0.59497,0.30776,0.50297,0.70059,0.50053,0.21218,1.49145,2.09021,1.66317,1.23062,0,0.0007921,0.0007921,0.0007921
23,947.561,1.26822,1.59357,1.3244,1.09898,0,0.47583,0.66346,0.4823,0.26054,0.43029,0.63183,0.43456,0.17299,1.58373,2.11157,1.7035,1.29216,0,0.0007822,0.0007822,0.0007822
24,991.239,1.34806,1.70975,1.4387,1.1517,0,0.5134,0.63914,0.51457,0.2832,0.46627,0.58654,0.45645,0.18581,1.52831,2.08348,1.63051,1.2968,0,0.0007723,0.0007723,0.0007723
25,1035.48,1.3446,2.001,1.28298,1.09083,0,0.53341,0.625,0.55149,0.33175,0.46178,0.62698,0.49345,0.20305,1.43588,2.15659,1.60149,1.22548,0,0.0007624,0.0007624,0.0007624
